ID_COORD,original_lat,original_long,lat2,long2
210,00°36°04S,077°53°02W,-0.6,-77.8833333333333
211,00°35°27S,077°53°47W,-0.583333333333333,-77.8833333333333
212,00°35°52S,077°52°59W,-0.583333333333333,-77.8666666666667
213,00°35°51S,077°52°59W,-0.583333333333333,-77.8666666666667
214,00°35°52S,077°53°15W,-0.583333333333333,-77.8833333333333
215,00°36°05S,077°53°13W,-0.6,-77.8833333333333
216,00°35°58S,077°52°54W,-0.583333333333333,-77.8666666666667
217,00°35°41S,077°53°33W,-0.583333333333333,-77.8833333333333
218,00°34°58S,077°52°35W,-0.566666666666667,-77.8666666666667
219,00°35°55S,077°53°02W,-0.583333333333333,-77.8833333333333
220,00°32°28S,077°52°29W,-0.533333333333333,-77.8666666666667
221,00°35°33S,077°53°04W,-0.583333333333333,-77.8833333333333
222,00°35°49S,077°53°18W,-0.583333333333333,-77.8833333333333
223,00°33°12S,077°52°32W,-0.55,-77.8666666666667
224,00°36°05.3S,077°53°11.2W,-0.6,-77.8833333333333
225,00°36°17.3S,077°53°11.1W,-0.6,-77.8833333333333
226,00°35°56S,077°53.427W,-0.583333333333333,-85.9
227,00°35°48.2S,077°53°44.0W,-0.583333333333333,-77.8833333333333
228,00°35°48.2S,077°53°44.5W,-0.583333333333333,-77.8833333333333
229,00°34°50.3S,077°52°32.4W,-0.566666666666667,-77.8666666666667
230,00°36°14.7S,077°53°06.9W,-0.6,-77.8833333333333
231,00°36°14.6S,077°53°06.8W,-0.6,-77.8833333333333
232,00°35°89.4S,077°54°51.0W,-0.583333333333333,-77.9
233,00°35°89.3S,077°54°14.5W,-0.583333333333333,-77.9
234,00°35°56.0S,077°53°23.8W,-0.583333333333333,-77.8833333333333
235,00°35°12.2S,077°53°08.0W,-0.583333333333333,-77.8833333333333
236,00°36°12.0S,077°53°07.8W,-0.6,-77.8833333333333
237,00°35°55.9S,077°53°23.5W,-0.583333333333333,-77.8833333333333
238,00°35°55.9S,077°53°33.5W,-0.583333333333333,-77.8833333333333
239,00°35°55.9S,077°53°19.8W,-0.583333333333333,-77.8833333333333
240,00°35°57.6S,077°53°41.6W,-0.583333333333333,-77.8833333333333
241,00°35°56.8S,077°53°43.7W,-0.583333333333333,-77.8833333333333
242,00°35°57.2S,077°53°43.7W,-0.583333333333333,-77.8833333333333
243,00°36°00.2S,077°53°18.3W,-0.6,-77.8833333333333
244,00°35°48.7S,077°53°21.9W,-0.583333333333333,-77.8833333333333
245,00°36°17.8S,077°53°22.7W,-0.6,-77.8833333333333
246,00°36°17.6S,077°53°08.0W,-0.6,-77.8833333333333
247,00°36°18.2S,077°53°07.7W,-0.6,-77.8833333333333
248,00°35°03.4S,077°52°31.0W,-0.583333333333333,-77.8666666666667
249,00°35°55.2S,077°5°21.8W,-0.583333333333333,-77.0833333333333
250,00°35°55.9S,077°53°23.3W,-0.583333333333333,-77.8833333333333
251,00°36°02.5S,077°53°21.3W,-0.6,-77.8833333333333
252,00°36°04.7S,077°53°23.9W,-0.6,-77.8833333333333
253,00°34°45.5S,077°52°34.5W,-0.566666666666667,-77.8666666666667
254,00°35.963S,077°53.311W,-0.583333333333333,-77.8833333333333
255,00°35.232S,077°52.552W,-0.583333333333333,-77.8666666666667
256,00°35.242S,077°53.580W,-0.583333333333333,-77.8833333333333
257,00°36°25.6S,077°53°22.4W,-0.6,-77.8833333333333
258,00°38°41.6S,077°54°51.7W,-0.633333333333333,-77.9
259,00°36°37.5S,077°53°14.1W,-0.6,-77.8833333333333
260,00°36°34.6S,077°53°13.1W,-0.6,-77.8833333333333
261,00°36°10.7S,077°53°13.1W,-0.6,-77.8833333333333
262,00°36°23.9S,077°53°21.7W,-0.6,-77.8833333333333
263,00°43°38.8S,077°46°22.0W,-0.716666666666667,-77.7666666666667
264,01°04°27S,077°57°23.4W,-1.06666666666667,-77.95
265,00°42°40.7S,077°42°32.5W,-0.7,-77.7
266,00°43°36.9S,077°46°25.3W,-0.716666666666667,-77.7666666666667
267,00°36°10.3S,077°53°14.3W,-0.6,-77.8833333333333
268,00°36°04.0S,077°53°02.9W,-0.6,-77.8833333333333
269,00°58°92.6S,077°88°38.5W,-0.966666666666667,-78.4666666666667
270,00°59°76.3S,077°88°73.8W,-0.983333333333333,-78.4666666666667
271,00°60°14.8S,077°88°32.6W,-1,-78.4666666666667
272,00°59°70.8S,077°88°55.7W,-0.983333333333333,-78.4666666666667
273,00°59°77.8S,077°88°15.2W,-0.983333333333333,-78.4666666666667
274,00°35°48.1S,077°53°16.5W,-0.583333333333333,-77.8833333333333
275,00°35°54.5S,077°53°03.0W,-0.583333333333333,-77.8833333333333
276,00°36°07.0S,077°53°00.7W,-0.6,-77.8833333333333
277,00°36°01.0S,077°52°53.2W,-0.6,-77.8666666666667
278,00°35°50.1S,077°53°12.8W,-0.583333333333333,-77.8833333333333
279,00°35°50.02S,077°53°08.0W,-0.583333333333333,-77.8833333333333
280,00°36°60.65S,077°53°09.23W,-0.6,-77.8833333333333
281,00°35°3.78S,077°53°15.5W,-0.583333333333333,-77.8833333333333
282,00°36°00.81S,077°53°11.9W,-0.6,-77.8833333333333
