original_lat,original_long,long2,lat2,manual_rev
"00°35'11.48""S","77°52'43.74""W",-77.8666666666667,-0.583333333333333,
"00°35'49.85""S","77°53'21.44""W",-77.8833333333333,-0.583333333333333,
"00°35'50.61""S","77°53'26.72""W",-77.8833333333333,-0.583333333333333,
"00°35'49.81""S","77°53'28.67""W",-77.8833333333333,-0.583333333333333,
"00°19'27""S","78°12'2""W",-78.2,-0.316666666666667,
"00°20'3""S","78°11'47""W",-78.1833333333333,-0.333333333333333,
"00°19'58""S","78°11'32""W",-78.1833333333333,-0.316666666666667,
"00°19'55.04""S","78°11'13.31""W",-78.1833333333333,-0.316666666666667,
"1°2'25""S","77°44'2""W",-77.7333333333333,-1.03333333333333,
"1°2'25""S","77°44'3""W",-77.7333333333333,-1.03333333333333,
"1°3'10""S","77°41'26""W",-77.6833333333333,-1.05,
"1°3'9""S","77°41'26""W",-77.6833333333333,-1.05,
"1°3'8""S","77°41'27""W",-77.6833333333333,-1.05,
"1°3'58""S","77°41'54""W",-77.6833333333333,-1.05,
"01°03'11.35""S","77°41'50.33""W",-77.6833333333333,-1.05,
"01°03'11.02""S","77°71'50.21""W",-78.1833333333333,-1.05,
"01°03'10.8""S","77°71'5.38""W",-78.1833333333333,-1.05,
